id,I,U,t_debut,mass,V,e,nb_p,utilisable
11,1.00,2.5,"[8.859, 0]",40,300,1.5,2,1
12,1.50,3.2,"[6.923, 6.923, 6.923, 6.923]",40,300,1.5,4,1
13,2.00,3.8,"[5.896, 5.896, 5.896]",40,300,1.5,3,1
14,2.49,4.5,"[]",40,300,1.5,0,1
15,1.00,2.0,"[9.066, 9.066]",60,300,1.5,2,1
16,1.50,2.7,"[13.281, 13.281]",60,300,1.5,2,1
17,2.00,3.0,"[7.106, 7.106]",60,300,1.5,2,1
18,2.50,3.6,"[0.0]",60,300,1.5,1,1
19,1.00,2.7,"[None]",80,300,1.5,1,1
20,1.50,2.7,"[None]",80,300,1.5,1,1
21,2.00,3.0,"[None]",60,300,1.5,1,1
22,2.50,3.6,"[None]",60,300,1.5,1,1
25,2.50,3.7,"[None]",40,300,1.5,1,1
26,3.00,4.4,"[None]",40,300,1.5,1,1
27,3.00,4.4,"[None]",40,300,1.5,1,1
28,3.00,4.4,"[None]",40,300,1.5,1,1
29,2.50,3.2,"[None]",60,300,1.5,1,1
30,3.00,3.6,"[None]",60,300,1.5,1,1
31,1.00,1.6,"[None]",75,300,1.5,1,1
32,2.00,2.5,"[None]",75,300,1.5,1,1
33,3.00,3.4,"[None]",75,300,1.5,1,1
34,2.50,2.9,"[None]",75,300,1.5,1,1
35,1.00,1.6,"[None]",100,300,1.5,1,1
36,2.00,2.2,"[None]",100,300,1.5,1,0
37,3.00,3.0,"[None]",100,300,1.5,1,1
38,1.00,1.6,"[None]",40,300,1.0,1,1
39,1.00,1.5,"[None]",40,300,1.0,1,1
40,2.00,2.4,"[None]",40,300,1.0,1,1
41,3.00,3.2,"[None]",40,300,1.0,1,1
42,3.00,3.2,"[None]",40,300,1.0,1,1
43,1.00,1.4,"[None]",40,300,1.0,1,1
44,1.00,1.4,"[None]",40,300,1.0,1,1
45,1.00,2.0,"[None]",40,300,2.0,1,1
46,2.00,3.0,"[None]",40,300,2.0,1,1
47,3.00,4.7,"[None]",40,300,2.0,1,1
48,3.00,3.2,"[None]",40,300,1.5,1,1